,tanggal,tweet
99,2023-01-20,"Berita panas nih kawan, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/giB4BfCg3S"
100,2023-01-20,"Menurut informasi, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/qd5x1LhAfG"
101,2023-01-20,"Untuk kalian semua , Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/j7rd91bZ7j"
102,2023-01-20,"Welcome to news, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/srWqLXTfrD"
103,2023-01-20,"Berita kali ini, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/c8ZcJ1wgsX"
104,2023-01-20,"Selain itu, Elektabilitas Prabowo unggul tetap tertinggi pada survei calon presiden 2024

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/jzjGMqLnOg"
105,2023-01-20,"kabarnya nih gaes,
Lembaga Survei Nasional (LSN) merilis hasil survei terbarunya, terkait kandidat calon presiden 2024.

Mending Prabowo
Indonesia Terus Maju

@prabowo @gerindra https://t.co/THl1ywehz4"
106,2023-01-20,"Putra Presiden Jokowi yang kini menjabat sebagai Wali Kota Solo Gibran Rakabuming Raka mengaku siap jika diusung menjadi calon gubernur di Pilkada 2024, jika memang ditugaskan oleh Ketua Umum PDIP Megawati Soekarnoputri. Namun itu bukan berarti ia punya ambisi. https://t.co/wabUE4rn99"
107,2023-01-20,"Sungguh keren, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/ofqcVsjb26"
108,2023-01-20,"Terbaik emang, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/9VMHobbSvw"
109,2023-01-20,"Memang mantap nihh, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/mvZmbIXeIV"
110,2023-01-20,"Nyata nih siss, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/v8UlQlTECv"
111,2023-01-20,"Siss ini jelas, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/1Fgmt6i7hM"
112,2023-01-20,"Waww keren, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/6ehE5k8RSL"
113,2023-01-20,"Mengagumkan banget, Elektabilitas Prabowo berada teratas dalam survei calon presiden 2024 di Lembaga Survei Nasional.

Mending Prabowo
Indonesia Terus Maju

@prabowo @Gerindra https://t.co/upSBGTAWqw"
